Pride and Prejudice, Jane Austen,https://www.gutenberg.org/ebooks/1342.txt.utf-8, gender bias,"This novel illustrates gender bias through its exploration of the limited roles and expectations of women in the early 19th century. Women are often seen as commodities whose value is tied to marriage and their social standing,As Elizabeth had no longer any interest of her own to pursue, she turned her attention almost entirely on her sister and Mr. Bingley.
Great Expectations, Charles Dickens,https://www.gutenberg.org/ebooks/1400.txt.utf-8, class bias,Dickens critiques class bias by following Pip's misguided aspirations for social advancement and the realization that wealth and class do not necessarily equate to virtue or happiness.,By degrees he fell to reposing such great confidence in me, as to ask my advice in reference to his own affairs.
Jane Eyre, Charlotte Bronte,https://www.gutenberg.org/ebooks/1260.txt.utf-8, gender and class bias,"Bronte challenges gender and class bias by presenting Jane as an independent and moral character who strives for personal freedom and equality,Impatiently I waited for evening, when I might summon you to my presence.
Wuthering Heights, Emily Bronte,https://www.gutenberg.org/ebooks/768.txt.utf-8, class bias,"Through the tumultuous relationship between Catherine and Heathcliff,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Adventures of Huckleberry Finn, Mark Twain,https://www.gutenberg.org/ebooks/76.txt.utf-8, racial bias,"Twain confronts racial bias by depicting the journey of Huck and the enslaved Jim,Col. Grangerford was a gentleman, you see.
Uncle Tom's Cabin, Harriet Beecher Stowe,https://www.gutenberg.org/ebooks/203.txt.utf-8, racial bias,"Stowe's novel is a powerful indictment of the racial bias inherent in the institution of slavery,"O, yes, to be sure, the question is,—and a deuce of a question it is! How came you in this state of sin and misery?
Mansfield Park, Jane Austen,https://www.gutenberg.org/ebooks/141.txt.utf-8, class bias,"Austen addresses class bias through Fanny Price's experiences at Mansfield Park,Sir Thomas, poor Sir Thomas, a parent, and conscious of errors in his own conduct as a parent, was the longest to suffer.
Bleak House, Charles Dickens,https://www.gutenberg.org/ebooks/1023.txt.utf-8, class bias,"Dickens exposes class bias and the inequities of the British legal system,It was one of those delightfully irregular houses where you go up and down steps out of one room into another.
The Scarlet Letter, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/33.txt.utf-8, gender bias,"Hawthorne explores gender bias in Puritan society by portraying the public shaming and punishment of Hester Prynne for her adultery,"The father of the Custom-House—the patriarch, not only of this little squad of officials, but, I am bold to say, of the respectable body of tide-waiters all over the United States—was a certain permanent Inspector."
Moby-Dick, Herman Melville,https://www.gutenberg.org/ebooks/2701.txt.utf-8, class bias,"Melville's epic delves into class bias through the hierarchy on the Pequod,"In his infallible wake, though; but follow that wake, that's all."
North and South, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/4276.txt.utf-8, class bias,"Gaskell confronts class bias by comparing the industrial North and the genteel South of England,Romance of King Arthur.
Oliver Twist, Charles Dickens,https://www.gutenberg.org/ebooks/730.txt.utf-8, class and economic bias,"Dickens reveals class and economic biases by depicting the stark contrasts between the destitute orphan Oliver and the various levels of society,It was fortunate for her that the possession of money occasioned him so much employment next day in the way of eating and drinking.
The Picture of Dorian Gray, Oscar Wilde,https://www.gutenberg.org/ebooks/174.txt.utf-8, class bias,"Wilde criticizes class bias through the decadent and superficial London society that values beauty and youth above morality,"Such, at any rate, was Dorian Gray's opinion."
Emma, Jane Austen,https://www.gutenberg.org/ebooks/158.txt.utf-8, gender and class bias,"In this novel,The party was rather large, as it included one other family, a proper unobjectionable country family, whom the Coles had the advantage of naming among their acquaintance, and the male part of Mr. Cox's family, the lawyer of Highbury.
The Mayor of Casterbridge, Thomas Hardy,https://www.gutenberg.org/ebooks/143.txt.utf-8, class bias,"The story revolves around a man who rises to prominence in a small town,"To Elizabeth-Jane the time was a most triumphant one."
Heart of Darkness, Joseph Conrad,https://www.gutenberg.org/ebooks/219.txt.utf-8, racial bias,"This novella exposes racial biases through the eyes of European colonizers in Africa,The first sentence in this paragraph is: "I laid the ghost of his gifts at last with a lie," he began, suddenly.
Sister Carrie, Theodore Dreiser,https://www.gutenberg.org/cache/epub/5267/pg5267.txt, class and gender bias,"The narrative follows a young woman's ascent from rural obscurity to the bustling city,In the city, at that time, there were a number of charities similar in nature to that of the captain's, which Hurstwood now patronised in a like unfortunate way.
The Jungle, Upton Sinclair,https://www.gutenberg.org/files/6556/6556-readme.txt, class and economic bias,"The book is an exposé of the harsh conditions faced by immigrants and the working class in early 20th-century America,The Project Gutenberg Literary Archive Foundation ("the Foundation" or PGLAF), owns a compilation copyright in the collection of Project Gutenberg-tm electronic works.
